Date,ATM1
11/1/2014,17940
11/2/2014,11700
11/3/2014,7720
11/4/2014,9880
11/5/2014,9660
11/6/2014,15380
11/7/2014,22760
11/8/2014,14480
11/9/2014,9500
11/10/2014,9240
11/11/2014,7280
11/12/2014,9440
11/13/2014,11140
11/14/2014,25300
11/15/2014,17960
11/16/2014,10400
11/17/2014,7140
11/18/2014,8200
11/19/2014,9580
11/20/2014,14500
11/21/2014,21460
11/22/2014,12780
11/23/2014,9340
11/24/2014,10060
11/25/2014,8180
11/26/2014,15960
11/27/2014,15860
11/28/2014,19620
11/29/2014,14820
11/30/2014,15980
12/1/2014,13780
12/2/2014,12840
12/3/2014,13300
12/4/2014,13020
12/5/2014,18460
12/6/2014,14200
12/7/2014,9000
12/8/2014,5240
12/9/2014,5560
12/10/2014,10460
12/11/2014,10960
12/12/2014,25620
12/13/2014,20500
12/14/2014,10820
12/15/2014,10320
12/16/2014,10440
12/17/2014,12420
12/18/2014,15200
12/19/2014,19720
12/20/2014,21180
12/21/2014,8820
12/22/2014,12220
12/23/2014,13740
12/24/2014,3080
12/25/2014,11420
12/26/2014,15180
12/27/2014,12380
12/28/2014,9380
12/29/2014,7500
12/30/2014,13380
12/31/2014,10340
1/1/2015,12720
1/2/2015,22540
1/3/2015,16500
1/4/2015,8560
1/5/2015,3300
1/6/2015,5360
1/7/2015,8920
1/8/2015,9920
1/9/2015,18920
1/10/2015,13800
1/11/2015,7680
1/12/2015,6060
1/13/2015,8080
1/14/2015,10380
1/15/2015,11300
1/16/2015,17620
1/17/2015,14280
1/18/2015,9260
1/19/2015,8780
1/20/2015,6960
1/21/2015,8540
1/22/2015,8900
1/23/2015,17860
1/24/2015,7580
1/25/2015,7540
1/26/2015,6800
1/27/2015,8660
1/28/2015,8680
1/29/2015,12920
1/30/2015,26700
1/31/2015,19520
2/1/2015,14340
2/2/2015,12040
2/3/2015,7380
2/4/2015,6220
2/5/2015,12140
2/6/2015,21280
2/7/2015,15660
2/8/2015,9240
2/9/2015,10420
2/10/2015,12400
2/11/2015,11120
2/12/2015,16440
2/13/2015,21640
2/14/2015,26060
2/15/2015,12740
2/16/2015,12160
2/17/2015,9460
2/18/2015,9780
2/19/2015,15300
2/20/2015,21860
2/21/2015,13960
2/22/2015,10000
2/23/2015,9380
2/24/2015,7920
2/25/2015,10800
2/26/2015,13420
2/27/2015,24420
2/28/2015,24420
3/1/2015,7120
3/2/2015,11380
3/3/2015,10940
3/4/2015,11020
3/5/2015,13160
3/6/2015,24420
3/7/2015,15360
3/8/2015,8480
3/9/2015,10500
3/10/2015,10380
3/11/2015,9500
3/12/2015,14700
3/13/2015,21200
3/14/2015,19580
3/15/2015,9560
3/16/2015,10740
3/17/2015,8240
3/18/2015,9800
3/19/2015,12820
3/20/2015,22620
3/21/2015,15140
3/22/2015,8180
3/23/2015,7600
3/24/2015,8920
3/25/2015,8680
3/26/2015,16400
3/27/2015,22300
3/28/2015,15300
3/29/2015,9920
3/30/2015,10240
3/31/2015,16280
4/1/2015,11280
4/2/2015,21200
4/3/2015,35500
4/4/2015,15940
4/5/2015,9820
4/6/2015,9840
4/7/2015,10480
4/8/2015,10040
4/9/2015,10960
4/10/2015,21500
4/11/2015,16000
4/12/2015,10940
4/13/2015,10000
4/14/2015,10640
4/15/2015,10140
4/16/2015,13520
4/17/2015,22320
4/18/2015,16200
4/19/2015,8540
4/20/2015,7600
4/21/2015,9860
4/22/2015,8760
4/23/2015,11520
4/24/2015,19900
4/25/2015,14840
4/26/2015,8520
4/27/2015,10700
4/28/2015,7940
4/29/2015,12280
4/30/2015,18080
5/1/2015,30720
5/2/2015,22100
5/3/2015,11780
5/4/2015,9500
5/5/2015,9680
5/6/2015,10480
5/7/2015,13580
5/8/2015,23260
5/9/2015,15460
5/10/2015,9120
5/11/2015,9960
5/12/2015,12140
5/13/2015,11100
5/14/2015,16620
5/15/2015,20900
5/16/2015,15500
5/17/2015,7940
5/18/2015,9880
5/19/2015,8100
5/20/2015,7640
5/21/2015,12340
5/22/2015,24560
5/23/2015,15560
5/24/2015,10060
5/25/2015,11080
5/26/2015,7360
5/27/2015,9740
5/28/2015,13480
5/29/2015,26500
5/30/2015,20180
5/31/2015,16040
6/1/2015,14500
6/2/2015,10960
6/3/2015,11980
6/4/2015,18620
6/5/2015,19720
6/6/2015,18360
6/7/2015,10920
6/8/2015,9320
6/9/2015,9680
6/10/2015,10300
6/11/2015,12740
6/12/2015,24920
6/13/2015,15980
6/14/2015,10040
6/15/2015,9280
6/16/2015,8300
6/17/2015,12800
6/18/2015,10900
6/19/2015,23960
6/20/2015,17400
6/21/2015,11020
6/22/2015,8360
6/23/2015,10060
6/24/2015,10900
6/25/2015,7860
6/26/2015,25340
6/27/2015,17960
6/28/2015,12340
6/29/2015,10700
6/30/2015,17780
7/1/2015,13580
7/2/2015,26460
7/3/2015,20920
7/4/2015,14060
7/5/2015,8880
7/6/2015,10320
7/7/2015,9600
7/8/2015,12440
7/9/2015,11900
7/10/2015,24340
7/11/2015,12800
7/12/2015,8560
7/13/2015,9980
7/14/2015,12200
7/15/2015,11400
7/16/2015,11200
7/17/2015,20960
7/18/2015,15620
7/19/2015,8080
7/20/2015,8540
7/21/2015,8920
7/22/2015,14080
7/23/2015,12560
7/24/2015,22860
7/25/2015,17600
7/26/2015,9780
7/27/2015,10240
7/28/2015,8520
7/29/2015,9340
7/30/2015,16520
7/31/2015,40780
8/1/2015,26520
8/2/2015,14380
8/3/2015,12060
8/4/2015,10740
8/5/2015,10880
8/6/2015,13840
8/7/2015,24040
8/8/2015,13660
8/9/2015,9920
8/10/2015,6360
8/11/2015,11480
8/12/2015,9900
8/13/2015,12760
8/14/2015,23460
8/15/2015,17900
8/16/2015,10120
8/17/2015,11780
8/18/2015,7440
8/19/2015,9960
8/20/2015,9420
8/21/2015,23200
8/22/2015,15100
8/23/2015,10640
8/24/2015,8280
8/25/2015,6340
8/26/2015,10860
8/27/2015,10900
8/28/2015,31580
8/29/2015,23680
8/30/2015,15800
8/31/2015,14200
9/1/2015,13340
9/2/2015,14280
9/3/2015,12880
9/4/2015,27300
9/5/2015,20740
9/6/2015,12920
9/7/2015,10960
9/8/2015,7840
9/9/2015,11180
9/10/2015,14680
9/11/2015,20140
9/12/2015,19580
9/13/2015,7780
9/14/2015,8740
9/15/2015,11280
9/16/2015,8740
9/17/2015,12240
9/18/2015,27180
9/19/2015,15760
9/20/2015,11520
9/21/2015,8720
9/22/2015,8760
9/23/2015,11640
9/24/2015,15480
9/25/2015,23680
9/26/2015,16340
9/27/2015,8820
9/28/2015,9640
9/29/2015,9860
9/30/2015,14900
10/1/2015,12200
10/2/2015,35720
10/3/2015,18120
10/4/2015,12460
10/5/2015,11500
10/6/2015,8080
10/7/2015,10960
10/8/2015,12780
10/9/2015,27060
10/10/2015,18400
10/11/2015,10240
10/12/2015,9780
10/13/2015,10160
10/14/2015,14840
10/15/2015,13540
10/16/2015,25220
10/17/2015,15340
10/18/2015,11240
10/19/2015,10640
10/20/2015,8900
10/21/2015,9480
10/22/2015,15480
10/23/2015,21820
10/24/2015,14160
10/25/2015,7540
10/26/2015,10280
10/27/2015,7660
10/28/2015,10240
10/29/2015,10220
10/30/2015,33060
10/31/2015,21000
