Player,Position,Still_in_league,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,agility,sprint
Isaiah Thomas,PG,1,22,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,10.49,3.14
Cory Jefferson,PF,0,24,60,79.75,81,84.5,105,37.5,142.5,33,138,218,5.3,8.75,9.75,12.63,3.36
Robbie Hummel,SF,0,23,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,11.56,3.41
Jordan McRae,PG,1,24,58,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,5.2,8.75,8.5,11.07,3.39
Derrick Caracter,C,0,22,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,12.78,3.61
Devyn Marble,SG,0,22,56,77,78.5,81,102,35,137,29,131,192,6.9,8.25,8.5,11.32,3.28
Peyton Siva,SG,0,22,56,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,8,9.75,10.59,3.16
Semaj Christon,PG,1,21,55,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,5.3,8.5,8.25,11.55,3.32
E'Twaun Moore,PG,1,22,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,11.12,3.31
Darius Johnson-Odom,SG,0,23,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,10.76,3.21
Willie Warren,PG,0,19,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,11.21,3.5
Lorenzo Brown,PG,0,23,52,76,77.25,79,100,34,134,28,128,189,4,8.25,8.5,11.78,3.4
Luke Harangody,PF,0,23,52,78.25,80,81.75,106,31,137,27,133,240,11.2,8.75,9.75,11.15,3.33
Thanasis Antetokounmpo,SF,0,21,51,77.25,78.25,84,104.5,39.5,144,31.5,136,205,6.1,9,9.75,11.39,3.18
Solomon Alabi,C,0,22,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,13.2,3.68
James Ennis,SF,1,24,50,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,8.5,8.75,11.55,3.4
Kyle O'Quinn,C,1,22,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,11.65,3.53
Cameron Bairstow,PF,0,24,49,80.75,81.75,84.75,107,33.5,140.5,31,138,252,8.7,8.75,9,11.39,3.37
Erik Murphy,C,0,23,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,12.19,3.57
Josh Selby,PG,0,20,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,11.13,3.2
Lamar Patterson,SG,1,24,48,76,77.25,83,101,32.5,133.5,27.5,128.5,226,10.8,9,9.25,11.63,3.45
Keith Benson,C,0,23,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,11.88,3.35
Russ Smith,PG,0,21,47,71.5,72.75,75.5,95,34,129,29.5,124.5,160,3.5,8.25,8.5,11.57,3.27
Travis Leslie,SG,0,23,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,11,3.13
Kevin Murphy,SG,0,22,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,10.97,3.42
Jordan Clarkson,PG,1,22,46,75.25,77,80,98,38.5,136.5,33,131,186,4.3,8.25,9,10.76,3.28
Andrew Goudelock,SG,0,23,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,10.33,3.1
Darius Miller,SF,0,22,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,11.34,3.31
Gani Lawal,PF,0,22,46,79.75,81,84,106,34.5,140.5,30,136,229,7.2,8.5,10,11.93,3.34
Dwight Powell,PF,1,23,45,81.5,83,84.5,105,35,140,28.5,133.5,234,6.2,9,9.25,11.28,3.2
Markel Brown,SG,0,19,44,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,4.2,8.25,9.75,12.62,3.18
Mike Muscala,PF,1,24,44,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,8.5,9,11.76,3.44
Charles Jenkins,PG,0,22,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,11.68,3.18
Kim English,SG,0,24,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,10.59,3.33
Mike Scott,PF,1,24,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,11.59,3.44
Devin Ebanks,SG,0,21,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,11.69,3.44
Malcolm Lee,SG,0,21,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,11.2,3.09
Ricky Ledo,SG,0,24,43,76.75,78,79.25,102.5,33.5,136,27,129.5,197,10.3,8.5,9.25,10.72,3.32
Nick Johnson,SG,0,21,42,73.5,75,79.25,96.5,41.5,138,33.5,130,198,6.1,8.75,9.75,10.8,3.27
Doron Lamb,SG,0,21,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,11.12,3.41
Darius Morris,PG,0,21,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,11,3.2
Jarvis Varnado,PF,0,24,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,11.61,3.37
Tyshawn Taylor,PG,0,21,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,11.48,3.2
Lance Stephenson,SG,1,20,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,11.39,3.38
Jon Leuer,PF,1,22,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,10.82,3.36
Glenn Robinson,SF,1,21,40,77.5,78.75,82,100.5,41.5,142,36.5,137,211,5.1,9,9.5,11.22,3.15
Grant Jerrett,PF,0,21,40,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,8.5,9.25,11.85,3.51
Will Barton,SG,1,19,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,12.5,3.6
Khris Middleton,SG,1,21,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,11.45,3.47
Jeff Withey,C,1,23,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,12.49,3.47
Jeremy Tyler,C,0,20,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,11.26,3.29
Quincy Miller,PF,0,23,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,11.05,3.48
Chandler Parsons,SF,1,23,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,11.05,3.29
Andy Rautins,SG,0,24,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,11.27,3.49
Trey Thompkins,C,0,22,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,11.72,3.41
Darington Hobson,SG,0,24,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,11.68,3.25
Quincy Acy,PF,1,20,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,10.48,3.28
Tony Mitchell,SF,0,19,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,11.82,3.52
Orlando Johnson,SG,0,20,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,10.98,3.25
Ray McCallum,PG,0,22,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,10.82,3.25
Johnny O'Bryant,PF,1,21,36,79.25,80.5,86.25,105,35.5,140.5,31,136,257,10.8,9.25,9.5,11.57,3.45
Jordan Williams,C,0,21,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,12.74,3.45
Tyler Honeycutt,SF,0,23,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,11.68,3.07
Jarnell Stokes,PF,1,21,35,79,80.5,85.25,103.5,36,139.5,31,134.5,263,8.2,9.75,10.5,11.92,3.26
Draymond Green,SF,1,22,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,11.01,3.4
Glen Rice,SF,0,23,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,10.99,3.25
Jae Crowder,SF,1,22,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,11.45,3.37
Isaiah Canaan,PG,1,22,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,10.98,3.22
Armon Johnson,PG,0,21,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,11.25,3.19
Cleanthony Early,SF,0,23,34,78,79.25,82.75,101.5,40,141.5,34,135.5,209,4.5,8.5,9,11.15,3.18
Shelvin Mack,PG,1,23,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,11.23,3.18
Kyle Singler,SF,1,24,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,11.22,3.21
Joe Harris,SG,1,23,33,76.75,78.25,78,100,33.5,133.5,28.5,128.5,215,6.2,8.5,9.75,11.11,3.31
Hassan Whiteside,C,1,21,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,11.83,3.54
Bernard James,C,0,27,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,11.84,3.4
Carrick Felix,SG,0,23,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,11.16,3.25
K.J. McDaniels,SG,1,21,32,76.5,78,83.25,102,37,139,33,135,196,4.5,8.75,9.75,12.71,3.1
Justin Harper,PF,1,22,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,11.92,3.3
Allen Crabbe,SG,1,21,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,10.67,3.32
Jimmy Butler,SG,1,22,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,11.92,3.15
Festus Ezeli,C,0,23,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,12.35,3.29
Lazar Hayward,SF,0,24,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,10.87,3.31
Cory Joseph,PG,1,20,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,10.75,3.27
Archie Goodwin,SG,1,19,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,10.75,3.27
Daniel Orton,PF,0,21,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,12.32,3.39
Marquis Teague,PG,0,23,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,10.65,3.19
Greivis Vasquez,SG,1,24,28,76.75,78,79.25,101,28,129,24.5,125.5,197,6.9,7.75,9.25,11.13,3.48
C.J. Wilcox,SG,1,24,28,75.5,77,81.75,100.5,37.5,138,31,131.5,201,6.5,8.75,9,11.3,3.22
Norris Cole,PG,1,23,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,10.07,3.22
Perry Jones,SF,0,23,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,11.31,3.19
Jordan Crawford,SG,1,22,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,11.03,3.37
Arnett Moultrie,PF,0,22,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,11.32,3.22
JaJuan Johnson,PF,0,22,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,11.21,3.14
Rudy Gobert,C,1,23,27,84.5,86,92.5,115,29,144,25,140,238,4.4,9.75,10,12.85,3.57
P.J. Hairston,SG,0,22,26,76.25,77.25,81,101,37,138,32,133,229,8.2,8.75,9.75,11.12,3.32
Andre Roberson,SG,1,22,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,11.36,3.34
Jordan Hamilton,SF,0,21,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,11.47,3.3
Miles Plumlee,C,1,22,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,10.64,3.36
Marshon Brooks,SG,0,23,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,10.74,3.09
Tony Wroten,SG,0,23,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,10.75,3.24
Reggie Bullock,SF,1,22,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,11.33,3.31
Dominique Jones,SG,0,22,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,10.88,3.31
Damion James,SF,0,23,24,78.25,79.5,84.75,106,37,143,30,136,224,8.2,9.25,8.5,11.23,3.09
Shabazz Napier,PG,1,21,24,71,73,75.25,93,37.5,130.5,30.5,123.5,175,7.4,8.25,8.5,11.6,3.2
Solomon Hill,SF,1,20,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,10.77,3.19
Rodney Hood,SG,1,23,23,79.25,80.5,80.5,103,36,139,29,132,208,7.5,8.5,8.5,11.21,3.38
John Jenkins,SG,1,21,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,11.36,3.37
Trevor Booker,PF,1,21,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,11.15,3.1
Mason Plumlee,C,1,20,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,10.89,3.29
Kenneth Faried,PF,1,22,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,11.35,3.26
Fab Melo,C,0,22,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,12.14,3.44
Jordan Adams,SG,0,20,22,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,10.8,8.5,7.5,12.13,3.5
Nolan Smith,PG,0,22,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,11.05,3.17
Jared Sullinger,PF,1,20,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,12.77,3.81
Craig Brackins,PF,0,23,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,11.65,3.39
James Anderson,SF,0,21,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,11.86,3.19
Tony Snell,SG,1,21,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,10.36,3.25
Avery Bradley,PG,1,20,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,11.47,3.14
Andrew Nicholson,PF,1,23,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,11.89,3.67
Tobias Harris,SF,1,21,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,10.96,3.17
Shane Larkin,PG,1,24,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,10.64,3.08
Tyler Ennis,PG,1,21,18,73,74.5,79.25,98,36,134,29,127,182,6.2,8.25,8.75,11.12,3.3
Terrence Jones,PF,1,21,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,11.57,3.4
Chris Singleton,SF,0,22,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,11.33,3.09
Tyler Zeller,C,1,19,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,11.13,3.4
Iman Shumpert,PG,1,21,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,11.1,3.18
Nikola Vucevic,C,1,19,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,12.02,3.27
Luke Babbitt,SF,1,21,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,10.98,3.4
Larry Sanders,C,1,22,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,12.49,3.27
Kawhi Leonard,SF,1,20,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,11.45,3.15
T.J. Warren,SF,1,21,14,79,80.25,82.25,104,35.5,139.5,27,131,220,8,8.75,9,11.1,3.26
Shabazz Muhammad,SG,1,23,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,10.99,3.32
Patrick Patterson,PF,1,21,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,11.14,3.25
Kelly Olynyk,C,1,22,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,11.42,3.59
Ed Davis,PF,1,21,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,11.7,3.21
Kendall Marshall,PG,0,21,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,12.03,3.23
Steven Adams,C,1,23,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,11.85,3.4
Jeremy Lamb,SF,1,20,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,10.98,3.25
Alec Burks,SG,1,20,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,10.96,3.17
Michael Carter-Williams,PG,1,24,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,10.68,3.22
Meyers Leonard,C,1,22,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,11.34,3.41
Klay Thompson,SG,1,21,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,10.99,3.24
Doug McDermott,SF,1,23,11,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,7.1,8.75,9.75,11.1,3.29
Cole Aldrich,C,1,22,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,11.48,3.35
Elfrid Payton,PG,1,20,10,74.5,75.75,80,98.5,35.5,134,31.5,130,185,5.7,8.75,9,11.06,3.23
C.J. McCollum,SG,1,22,10,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,8,9.5,11.02,3.32
Austin Rivers,SG,1,20,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,11.54,3.32
Jimmer Fredette,PG,0,22,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,10.42,3.21
Trey Burke,PG,1,20,9,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,8.25,8.75,11.2,3.16
Noah Vonleh,PF,1,23,9,80,81.5,88.25,108,37,145,31,139,247,7.3,9.75,11.75,11.45,3.28
Kemba Walker,PG,1,21,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,10.87,3.16
Gordon Hayward,SF,1,20,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,11.73,3.22
Andre Drummond,C,1,19,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10.83,3.39
Terrence Ross,SG,1,21,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,11.78,3.28
Nik Stauskas,SG,1,21,8,77.25,78.5,79.75,102,35.5,137.5,29,131,207,12.1,8.5,8.5,10.79,3.27
Kentavious Caldwell-Pope,SG,1,20,8,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,8.5,9,10.6,3.12
Brandon Knight,PG,1,20,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10.74,3.07
Al-Farouq Aminu,SF,1,20,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,11.29,3.3
Julius Randle,PF,1,20,7,79.75,81,84,105.5,35.5,141,29,134.5,250,9.4,8.75,8.25,11.45,3.27
Harrison Barnes,SF,1,20,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,10.93,3.16
Greg Monroe,C,1,20,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,12.1,3.35
Ben McLemore,SG,1,20,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,11.87,3.27
Ekpe Udoh,C,1,23,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,11.15,3.29
Marcus Smart,PG,1,20,6,74,75.25,81.25,99,36,135,33,132,227,10.6,9,8.75,10.82,3.26
Damian Lillard,PG,1,22,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,11.15,3.34
Thomas Robinson,PF,1,19,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,11.96,3.17
DeMarcus Cousins,C,1,20,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,11.4,3.55
Dante Exum,PG,1,19,5,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,6.4,8.5,9.5,10.75,3.19
Wesley Johnson,SG,1,21,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,11.43,3.14
Tristan Thompson,PF,1,20,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,10.92,3.26
Cody Zeller,C,1,21,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,10.82,3.15
Aaron Gordon,PF,1,19,4,79.5,80.75,83.75,105,39,144,32.5,137.5,220,5.1,8.75,10.5,10.81,3.27
Otto Porter,SF,1,22,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,11.25,3.4
Enes Kanter,C,1,19,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,11.3,3.26
Derrick Favors,PF,1,19,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,11.74,3.25
Bradley Beal,SG,1,19,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,10.95,3.28
Victor Oladipo,PG,1,23,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,10.69,3.25
Michael Kidd-Gilchrist,SF,1,22,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,11.77,3.18
Evan Turner,SG,1,22,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,11.06,3.27
Derrick Williams,PF,1,20,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,11.03,3.23
John Wall,PG,1,20,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,10.84,3.14
Phil Pressey,PG,0,22,61,69.5,71.5,74.25,92,38.5,130.5,33,125,177,4.7,7.75,9.75,10.86,3.13
Scotty Hopson,SG,0,24,61,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,10.47,3.18
Tony Mitchell,SF,0,22,61,77.25,78.25,82,100,40,140,31.5,131.5,216,5.7,8.5,10,11.82,3.52
Vander Blue,SG,0,20,61,75.5,77.25,78,100.5,37.5,138,28,128.5,197,4.6,8.5,9.5,10.4,3.14
Robert Covington,SF,1,22,61,78.25,79.5,85.75,106,36,142,29.5,135.5,209,4.7,9,8.5,11.69,3.34
JaMychal Green,PF,1,24,61,80,81,86.25,106.5,32.5,139,29.5,136,217,9.8,9.25,9.25,10.63,3.38
Hollis Thompson,SF,1,22,61,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,11.72,3.38
DeWayne Dedmon,C,1,24,61,82,83.5,88,109,32.5,141.5,28,137,239,8.4,9,11,12.75,3.4
Adonis Thomas,SF,0,20,61,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,9.25,9.5,11.66,3.32
Alex Kirk,C,0,23,61,81.25,82.75,87.5,109.5,31.5,141,28.5,138,252,13.6,9.25,10.5,11.2,3.48
Brandon Davies,PF,0,22,61,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,9,11,11.22,3.5
Drew Gordon,PF,0,24,61,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,8.5,9.75,11.35,3.49
Greg Smith,PF,0,21,61,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,12.43,3.36
Henry Sims,C,0,22,61,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,12.33,3.44
Jabari Brown,SG,0,22,61,75,76.25,80.25,100,32,132,28,128,202,6.1,9,9.25,11.6,3.5
James Southerland,SF,0,23,61,79,80,85,106,32,138,29,135,221,8.1,8,9.5,10.9,3.38
Kevin Jones,PF,0,23,61,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,11.94,3.6
Malcolm Thomas,PF,0,23,61,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,11.31,3.29
Scott Machado,PG,0,24,61,73,74,76,94.5,32.5,127,27,121.5,206,5.8,8.5,9.5,11.26,3.3
Sherron Collins,PG,0,22,61,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,12.31,3.24
